How old are you?, Answer1: 40, Answer2: 13, Answer3: 70, CorrectAnswer: 37
Have you been in Wien?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: No
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
What is your name?, Answer1: Yes, Answer2: Okey, Answer3: Once, CorrectAnswer: Turgut
Qestion: How is you day going?, Answer1: good, Answer2: bad, Answer3: ok, CorrectAnswer: perfect
